, solved(unsafe), explicit than abc-bmc, explicit than bac
hybrid,163,16,6
bac,161,15,0
abc-bmc,159,0,13
bicar,155,8,8
kcar,150,11,5
simpleCAR,148,13,4
overall,178,19,17
